league_id_x,draft_id,draft_order,scoring_type,season,type,status,rounds,slot_to_id,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_superflex,slots_bn,league_id_y,draft_slot,pick_no,is_keeper,player_first,player_last,player_id,position,roster_id,picked_by
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,1,1,,Joe,Burrow,6770,QB,1,1078160676847321088
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,2,2,,Josh,Allen,4984,QB,2,1029605644397510656
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,3,3,,Jayden,Daniels,11566,QB,3,773979452081307648
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,4,4,,Amon-Ra,St. Brown,7547,WR,4,1107696717543153664
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,5,5,,Justin,Jefferson,6794,WR,5,846553849618616320
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,6,6,,Ja'Marr,Chase,7564,WR,6,1065155385071452160
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,7,7,,Lamar,Jackson,4881,QB,7,1113245232751095808
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,8,8,,Jalen,Hurts,6904,QB,8,1127437827882504192
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,9,9,,Bijan,Robinson,9509,RB,9,1001610772134387712
1179072146772254720,1179072147714932736,"{'1001610772134387712': 9, '1005531443856023552': 10, '1029605644397510656': 2, '1065155385071452160': 6, '1078160676847321088': 1, '1107696717543153664': 4, '1113245232751095808': 7, '1127437827882504192': 8, '773979452081307648': 3, '846553849618616320': 5, '873444722843217920': 11, '981243996867518464': 12}",idp,2024,snake,complete,35,"{'1': 1, '10': 4, '11': 5, '12': 7, '2': 9, '3': 12, '4': 6, '5': 10, '6': 3, '7': 8, '8': 11, '9': 2}",1,2,2,1,4,1,10,1179072146772254720,10,10,,CeeDee,Lamb,6786,WR,10,1005531443856023552
