points,players,roster_id,custom_points,matchup_id,starters,starters_points,players_points,league_id,week
175.38,"['10937', '11563', '11583', '11584', '11618', '4137', '4943', '4984', '5045', '5859', '5927', '5947', '6813', '6819', '6865', '8110', '8126', '8134', '8151', '9225', '9226', '9500', 'DAL']",1,,5.0,"['4984', '6813', '9226', '8126', '6819', '6865', '5927', '4137', '4943', '10937', 'DAL']","[10.76, 26.5, 45.5, 9.8, 5.1, 2.2, 8.2, 37.9, 23.42, 5.0, 1.0]","{'10937': 5.0, '11563': 12.34, '11583': 0.0, '11584': 5.7, '11618': 3.1, '4137': 37.9, '4943': 23.42, '4984': 10.76, '5045': 3.6, '5859': 0.0, '5927': 8.2, '5947': 6.9, '6813': 26.5, '6819': 5.1, '6865': 2.2, '8110': 0.0, '8126': 9.8, '8134': 11.1, '8151': 0.0, '9225': 0.0, '9226': 45.5, '9500': 0.0, 'DAL': 1.0}",1134603542842511360,2
222.24,"['11637', '2197', '3451', '4037', '4082', '4950', '4988', '5849', '5870', '5970', '6130', '6786', '7021', '7523', '7553', '7594', '8131', '8138', '8205', '9221', '9501', 'HOU']",2,,1.0,"['5849', '9221', '8205', '6786', '4950', '8131', '8138', '4037', '7523', '3451', 'HOU']","[31.04, 26.1, 27.6, 19.0, 0.9, 4.6, 34.0, 29.7, 14.3, 20.0, 15.0]","{'11637': 0.0, '2197': 4.1, '3451': 20.0, '4037': 29.7, '4082': 1.3, '4950': 0.9, '4988': 0.0, '5849': 31.04, '5870': 20.82, '5970': 3.1, '6130': 22.5, '6786': 19.0, '7021': 13.4, '7523': 14.3, '7553': 5.0, '7594': 16.6, '8131': 4.6, '8138': 34.0, '8205': 27.6, '9221': 26.1, '9501': 0.0, 'HOU': 15.0}",1134603542842511360,2
157.32,"['10859', '11566', '11575', '1166', '2749', '3164', '4017', '4039', '5119', '5967', '6790', '6826', '7090', '7547', '8112', '8146', '8148', '8161', '9488', 'ATL', 'LAC']",3,,4.0,"['11566', '6790', '5967', '7547', '8146', '10859', '8112', '4039', '8161', '5119', 'LAC']","[18.44, 15.2, 25.7, 27.9, 10.7, 3.3, 17.4, 7.7, 15.98, 4.0, 11.0]","{'10859': 3.3, '11566': 18.44, '11575': 8.3, '1166': 19.54, '2749': 0.0, '3164': 8.2, '4017': 17.94, '4039': 7.7, '5119': 4.0, '5967': 25.7, '6790': 15.2, '6826': 6.7, '7090': 17.8, '7547': 27.9, '8112': 17.4, '8146': 10.7, '8148': 14.9, '8161': 15.98, '9488': 28.7, 'ATL': 3.0, 'LAC': 11.0}",1134603542842511360,2
147.46,"['11533', '11564', '11570', '11582', '11596', '11604', '11623', '11624', '11625', '11630', '11631', '11834', '3198', '4227', '5012', '6804', '8130', '8676', '9228', '9502', '9509', '9511', '9758', '9997', '9999', 'DET']",4,,2.0,"['9758', '9509', '3198', '9997', '9502', '8130', '5012', '11624', '9228', '4227', 'DET']","[14.8, 25.2, 25.6, 22.1, 3.8, 18.7, 9.1, 4.7, 3.46, 10.0, 10.0]","{'11533': 17.0, '11564': 0.0, '11570': 0.0, '11582': 3.9, '11596': 0.0, '11604': 18.8, '11623': 4.2, '11624': 4.7, '11625': 4.0, '11630': 0.0, '11631': 11.4, '11834': 0.0, '3198': 25.6, '4227': 10.0, '5012': 9.1, '6804': 0.0, '8130': 18.7, '8676': 24.4, '9228': 3.46, '9502': 3.8, '9509': 25.2, '9511': 0.0, '9758': 14.8, '9997': 22.1, '9999': 14.48, 'DET': 10.0}",1134603542842511360,2
157.08,"['11560', '11581', '11628', '11635', '11638', '1234', '2216', '2309', '3214', '3294', '4034', '4663', '4666', '5248', '5846', '5848', '5892', '8111', '8154', '9481', 'PIT']",5,,2.0,"['11560', '4034', '5892', '11628', '2216', '9481', '5846', '2309', '3294', '4666', 'PIT']","[11.86, 0.0, 22.5, 34.0, 7.2, 1.6, 33.9, 4.1, 18.92, 10.0, 13.0]","{'11560': 11.86, '11581': 5.8, '11628': 34.0, '11635': 4.6, '11638': 0.0, '1234': 0.0, '2216': 7.2, '2309': 4.1, '3214': 23.9, '3294': 18.92, '4034': 0.0, '4663': 15.5, '4666': 10.0, '5248': 14.9, '5846': 33.9, '5848': 0.0, '5892': 22.5, '8111': 0.1, '8154': 28.1, '9481': 1.6, 'PIT': 13.0}",1134603542842511360,2
145.18,"['11586', '11589', '11626', '11647', '1264', '1466', '3163', '4068', '4217', '4892', '6794', '6803', '6845', '7528', '7564', '8136', '96', '9754', '9757', 'PHI', 'SF']",6,,3.0,"['3163', '8136', '7528', '6794', '7564', '1466', '6803', '6845', '4892', '1264', 'SF']","[17.78, 8.3, 16.9, 28.3, 7.5, 2.1, 8.3, 11.7, 22.3, 12.0, 10.0]","{'11586': 6.8, '11589': 8.2, '11626': 0.0, '11647': 0.0, '1264': 12.0, '1466': 2.1, '3163': 17.78, '4068': 2.9, '4217': 20.6, '4892': 22.3, '6794': 28.3, '6803': 8.3, '6845': 11.7, '7528': 16.9, '7564': 7.5, '8136': 8.3, '96': 16.14, '9754': 22.1, '9757': 0.0, 'PHI': 1.0, 'SF': 10.0}",1134603542842511360,2
125.86,"['10236', '11439', '11559', '11620', '11643', '1426', '3321', '4018', '4199', '4983', '5022', '6011', '6768', '7543', '7591', '7839', '8137', '8143', '8167', '9229', 'NYJ']",7,,4.0,"['9229', '7543', '4018', '3321', '4983', '10236', '4199', '11620', '8137', '7839', 'NYJ']","[14.86, 21.3, 12.5, 7.1, 11.3, 7.3, 14.3, 5.3, 4.9, 15.0, 12.0]","{'10236': 7.3, '11439': 2.1, '11559': 0.0, '11620': 5.3, '11643': 2.9, '1426': 1.9, '3321': 7.1, '4018': 12.5, '4199': 14.3, '4983': 11.3, '5022': 6.8, '6011': 17.44, '6768': 9.5, '7543': 21.3, '7591': 15.38, '7839': 15.0, '8137': 4.9, '8143': 10.9, '8167': 0.0, '9229': 14.86, 'NYJ': 12.0}",1134603542842511360,2
232.54,"['10229', '1689', '2374', '2449', '4035', '4066', '4149', '421', '4881', '5844', '5857', '6783', '6801', '7042', '8139', '8144', '8155', '8183', '8230', '8408', '9756', 'CLE']",8,,5.0,"['4881', '8155', '4035', '8144', '2449', '5857', '10229', '8408', '8183', '7042', 'CLE']","[19.88, 33.4, 62.0, 13.3, 7.7, 2.4, 18.5, 35.4, 21.96, 7.0, 11.0]","{'10229': 18.5, '1689': 4.0, '2374': 3.5, '2449': 7.7, '4035': 62.0, '4066': 0.0, '4149': 7.9, '421': 6.64, '4881': 19.88, '5844': 0.0, '5857': 2.4, '6783': 12.3, '6801': 0.0, '7042': 7.0, '8139': 11.3, '8144': 13.3, '8155': 33.4, '8183': 21.96, '8230': 13.2, '8408': 35.4, '9756': 0.0, 'CLE': 11.0}",1134603542842511360,2
255.34,"['11619', '11650', '1373', '2133', '4033', '4381', '4981', '5850', '5872', '5937', '6770', '6806', '6904', '7569', '7611', '7670', '8150', '8259', '9224', '9508', 'KC']",9,,3.0,"['6904', '8150', '7611', '2133', '5872', '4381', '6806', '5850', '6770', '8259', 'KC']","[31.32, 21.2, 30.5, 31.0, 24.0, 4.4, 33.6, 37.1, 20.22, 9.0, 13.0]","{'11619': 9.7, '11650': 0.0, '1373': 26.38, '2133': 31.0, '4033': 0.0, '4381': 4.4, '4981': 25.2, '5850': 37.1, '5872': 24.0, '5937': 4.5, '6770': 20.22, '6806': 33.6, '6904': 31.32, '7569': 32.5, '7611': 30.5, '7670': 3.9, '8150': 21.2, '8259': 9.0, '9224': 5.1, '9508': 8.1, 'KC': 13.0}",1134603542842511360,2
164.94,"['10222', '11627', '11632', '11655', '1479', '2028', '4046', '4195', '4866', '5001', '6797', '6945', '7525', '7526', '7588', '7600', '8132', '8228', '9493', '9753', 'BAL']",10,,1.0,"['4046', '4866', '7588', '9493', '11632', '5001', '7526', '7525', '6797', '4195', 'BAL']","[16.94, 33.6, 17.0, 0.0, 33.7, 4.1, 9.0, 20.6, 15.0, 7.0, 8.0]","{'10222': 7.6, '11627': 0.0, '11632': 33.7, '11655': 0.7, '1479': 0.0, '2028': 23.32, '4046': 16.94, '4195': 7.0, '4866': 33.6, '5001': 4.1, '6797': 15.0, '6945': 18.8, '7525': 20.6, '7526': 9.0, '7588': 17.0, '7600': 7.9, '8132': 12.0, '8228': 12.6, '9493': 0.0, '9753': 24.9, 'BAL': 8.0}",1134603542842511360,2
